problem_id,policy,variant,budget,selected_count,hypervolume,best_fitness,unique_style_clusters,unique_motif_signatures,valid_ppa_count
RTLLM/Prob001_accu,oracle_best_fitness,oracle,10,10,0.0,0.07583123348604481,1,1,10
RTLLM/Prob001_accu,oracle_style_diversity,oracle,10,10,0.0,0.07583123348604481,1,1,10
RTLLM/Prob001_accu,oracle_motif_diversity,oracle,10,10,0.0,0.07583123348604481,1,8,10
RTLLM/Prob001_accu,oracle_lexical_diversity,oracle,10,10,0.0,0.07583123348604481,1,3,10
RTLLM/Prob001_accu,online_best_fitness,online,10,10,0.0,0.07583123348604481,1,1,10
RTLLM/Prob001_accu,online_style_diversity,online,10,10,0.0,0.07583123348604481,1,1,10
RTLLM/Prob001_accu,random_seed_00,random,10,10,0.0,0.07583123348604481,1,3,10
RTLLM/Prob001_accu,random_seed_01,random,10,10,0.0,0.07583123348604481,1,5,10
RTLLM/Prob001_accu,random_seed_02,random,10,10,0.0,0.07583123348604481,1,4,10
RTLLM/Prob001_accu,random_seed_03,random,10,10,0.0,0.07583123348604481,1,4,10
RTLLM/Prob001_accu,random_seed_04,random,10,10,0.0,0.07583123348604481,1,3,10
RTLLM/Prob001_accu,random_seed_05,random,10,10,0.0,0.07583123348604481,1,6,10
RTLLM/Prob001_accu,random_seed_06,random,10,10,0.0,0.07583123348604481,1,6,10
RTLLM/Prob001_accu,random_seed_07,random,10,10,0.0,0.07583123348604481,1,3,10
RTLLM/Prob001_accu,random_seed_08,random,10,10,0.0,0.07583123348604481,1,3,10
RTLLM/Prob001_accu,random_seed_09,random,10,10,0.0,0.07583123348604481,1,5,10
RTLLM/Prob001_accu,random_seed_10,random,10,10,0.0,0.07583123348604481,1,5,10
RTLLM/Prob001_accu,random_seed_11,random,10,10,0.0,0.07583123348604481,1,5,10
RTLLM/Prob001_accu,random_seed_12,random,10,10,0.0,0.07583123348604481,1,3,10
RTLLM/Prob001_accu,random_seed_13,random,10,10,0.0,0.07583123348604481,1,3,10
RTLLM/Prob001_accu,random_seed_14,random,10,10,0.0,0.07583123348604481,1,5,10
RTLLM/Prob001_accu,random_seed_15,random,10,10,0.0,0.07583123348604481,1,5,10
RTLLM/Prob001_accu,random_seed_16,random,10,10,0.0,0.07583123348604481,1,6,10
RTLLM/Prob001_accu,random_seed_17,random,10,10,0.0,0.07583123348604481,1,4,10
RTLLM/Prob001_accu,random_seed_18,random,10,10,0.0,0.07583123348604481,1,5,10
RTLLM/Prob001_accu,random_seed_19,random,10,10,0.0,0.07583123348604481,1,3,10
RTLLM/Prob002_adder_16bit,oracle_best_fitness,oracle,10,10,0.2051142342841318,0.3999021508354103,3,3,10
RTLLM/Prob002_adder_16bit,oracle_style_diversity,oracle,10,10,0.2051142342841318,0.3999021508354103,3,3,10
RTLLM/Prob002_adder_16bit,oracle_motif_diversity,oracle,10,10,0.2051142342841318,0.3999021508354103,3,4,10
RTLLM/Prob002_adder_16bit,oracle_lexical_diversity,oracle,10,10,0.2051142342841318,0.3999021508354103,3,3,10
RTLLM/Prob002_adder_16bit,online_best_fitness,online,10,10,0.2051142342841318,0.3999021508354103,3,3,10
RTLLM/Prob002_adder_16bit,online_style_diversity,online,10,10,0.2051142342841318,0.3999021508354103,3,3,10
RTLLM/Prob002_adder_16bit,random_seed_00,random,10,10,0.0,0.23137773469952916,2,2,10
RTLLM/Prob002_adder_16bit,random_seed_01,random,10,10,0.0,0.23137773469952916,2,2,10
RTLLM/Prob002_adder_16bit,random_seed_02,random,10,10,0.0,0.23137773469952916,2,2,10
RTLLM/Prob002_adder_16bit,random_seed_03,random,10,10,0.0,0.23137773469952916,2,2,10
RTLLM/Prob002_adder_16bit,random_seed_04,random,10,10,0.0,0.23137773469952916,1,2,10
RTLLM/Prob002_adder_16bit,random_seed_05,random,10,10,0.0,0.23137773469952916,2,2,10
RTLLM/Prob002_adder_16bit,random_seed_06,random,10,10,0.0,0.23137773469952916,2,2,10
RTLLM/Prob002_adder_16bit,random_seed_07,random,10,10,0.0,0.3045474476137727,2,3,10
RTLLM/Prob002_adder_16bit,random_seed_08,random,10,10,0.0,0.3045474476137727,2,3,10
RTLLM/Prob002_adder_16bit,random_seed_09,random,10,10,0.0,0.23137773469952916,2,2,10
RTLLM/Prob002_adder_16bit,random_seed_10,random,10,10,0.2051142342841318,0.3999021508354103,3,3,10
